,min,max,min_with_buffer,max_with_buffer
AAVE-USD,0.5165709853172302,632.2664794921875,0.4649138867855072,695.4931274414063
ADA-USD,0.0239610001444816,2.9682390689849854,0.02156490013003344,3.265062975883484
ALGO-USD,0.0885410010814666,2.3794798851013184,0.07968690097331994,2.6174278736114505
ATOM-USD,1.6492029428482056,44.54278945922852,1.484282648563385,48.99706840515138
AVAX-USD,2.906161069869995,134.53103637695312,2.615544962882996,147.98414001464846
BCH-USD,89.35179138183594,1542.425048828125,80.41661224365235,1696.6675537109377
BNB-USD,9.3860502243042,750.2726440429688,8.44744520187378,825.2999084472657
BTC-USD,4970.7880859375,106140.6015625,4473.70927734375,116754.66171875001
CHR-USD,0.0105969998985528,1.4074629545211792,0.009537299908697519,1.5482092499732973
DASH-USD,21.453447341918945,440.8867492675781,19.30810260772705,484.975424194336
DOGE-USD,0.0015369999455288,0.684777021408081,0.0013832999509759201,0.7532547235488892
DOT-USD,2.875027894973755,53.88173294067383,2.5875251054763795,59.269906234741214
EOS-USD,0.4089019894599914,14.3655424118042,0.36801179051399224,15.80209665298462
ETC-USD,3.9639461040496826,134.10179138183594,3.5675514936447144,147.51197052001953
ETH-USD,110.60587310791016,4812.08740234375,99.54528579711915,5293.296142578125
FIL-USD,2.427773952484131,191.35655212402344,2.184996557235718,210.4922073364258
FTT-USD,0.8117139935493469,79.8713150024414,0.7305425941944123,87.85844650268555
LINK-USD,1.779876947402954,52.19869613647461,1.6018892526626587,57.41856575012208
LTC-USD,30.930883407592773,386.4507751464844,27.837795066833497,425.0958526611328
MATIC-USD,0.0080960001796484,2.8767569065093994,0.00728640016168356,3.1644325971603395
NEO-USD,5.377223968505859,122.68340301513672,4.839501571655274,134.9517433166504
SOL-USD,0.5152729749679565,258.934326171875,0.4637456774711609,284.8277587890625
THETA-USD,0.0535430014133453,14.282879829406738,0.048188701272010775,15.711167812347414
TRX-USD,0.0087919998914003,0.4259920120239258,0.007912799902260272,0.4685912132263184
UNI-USD,3.700000161188655e-05,0.5981529951095581,3.3300001450697895e-05,0.657968294620514
VET-USD,0.0022740000858902,0.2546319961547851,0.0020466000773011798,0.28009519577026365
XLM-USD,0.0334409996867179,0.7299960255622864,0.03009689971804611,0.8029956281185151
XMR-USD,33.01032257080078,483.5836181640625,29.709290313720704,531.9419799804688
XRP-USD,0.1396349966526031,2.7138049602508545,0.12567149698734278,2.98518545627594
ZEC-USD,18.293577194213867,318.9179382324219,16.464219474792483,350.8097320556641
