Representative,Type,Ticker,Correlation
SOL-USD,Top Positive,ETH-USD,0.8628639085392477
SOL-USD,Top Positive,BTC-USD,0.8570242924088599
SOL-USD,Top Positive,BNB-USD,0.8548024023905201
SOL-USD,Top Positive,TRX-USD,0.7695850140559471
SOL-USD,Top Negative,EOS-USD,-0.12477073824128523
SOL-USD,Top Negative,UNI-USD,-0.029280114664887384
SOL-USD,Top Negative,DASH-USD,-0.016967301703265308
SOL-USD,Top Negative,FIL-USD,0.03973120048454278
BTC-USD,Top Positive,TRX-USD,0.8812367842097507
BTC-USD,Top Positive,BNB-USD,0.8781317920176195
BTC-USD,Top Positive,SOL-USD,0.8570242924088599
BTC-USD,Top Positive,ETH-USD,0.8570001382688874
BTC-USD,Top Negative,UNI-USD,-0.0389850270530073
BTC-USD,Top Negative,EOS-USD,-0.03865635310600983
BTC-USD,Top Negative,DASH-USD,0.12356888084594488
BTC-USD,Top Negative,ZEC-USD,0.19541523779960723
ETH-USD,Top Positive,BNB-USD,0.9183733568170117
ETH-USD,Top Positive,SOL-USD,0.8628639085392477
ETH-USD,Top Positive,BTC-USD,0.8570001382688874
ETH-USD,Top Positive,CHR-USD,0.7848845313209489
ETH-USD,Top Negative,UNI-USD,-0.031119057969959573
ETH-USD,Top Negative,EOS-USD,0.04585999991461802
ETH-USD,Top Negative,DASH-USD,0.2144011229103614
ETH-USD,Top Negative,FIL-USD,0.27335559352733635
XMR-USD,Top Positive,VET-USD,0.8813726335216167
XMR-USD,Top Positive,LTC-USD,0.8623687080490603
XMR-USD,Top Positive,AAVE-USD,0.8615599323188027
XMR-USD,Top Positive,THETA-USD,0.8402620995004607
XMR-USD,Top Negative,UNI-USD,-0.014743301365568564
XMR-USD,Top Negative,SOL-USD,0.34928187946371736
XMR-USD,Top Negative,TRX-USD,0.4269569832452635
XMR-USD,Top Negative,AVAX-USD,0.4935138003893691
